,HP1a,HP1B,HP1C
132,-1487.0537897729364,-285.0751221478081,-488.1427619796571
133,-2041.071762852981,-518.4847970075382,-487.8219938047076
134,-609.6909419778051,260.4080399521258,-488.618199861945
135,-850.7279672416554,168.29211177448477,-487.0011069406083
136,-826.643478559693,-254.53185683495937,-486.9958139680247
137,-990.511227596298,-313.3588682207088,-488.3771374517742
138,-753.1401607537966,308.9662608346712,-487.1898505820644
139,-2036.3767815352564,515.5676269795968,-489.51557561069916
140,-1451.0060632648053,-18.804287553196637,-489.2321701440157
141,-159.19849398844485,-345.7777703883054,-489.1213463159096
142,-892.0880321503695,-93.12826212912408,-489.2624873544843
143,-1034.7257026648076,-292.2411854935582,-488.4001471874781
144,-51.27227544141978,215.6705742595346,-488.3226648589872
145,-1061.576453210588,222.41358145819837,-489.18676730410033
146,-1155.1007110570654,-144.60778540793495,-487.40974176508865
147,-995.4772952849709,-122.23280685653106,-488.2415696978111
148,-1679.7695540169043,18.824527342747963,-489.65111136860577
149,-982.7570819282164,157.5282905864364,-488.1126224267312
150,-1135.614587275913,175.0293990689197,-488.02342404849884
151,-386.47350634243287,-371.96705564071164,-488.41887301848874
152,-444.2624766558224,190.74569560039848,-487.24269898367135
153,-1046.8717179568623,-48.81254954809311,-489.33500773095057
154,-1437.9845311187248,-140.63034420890867,-489.2463091798355
155,-1068.0145692897063,11.9233390338714,-487.3893289082549
156,-962.821881927726,-320.29804973861997,-487.2849844773488
157,-850.550322176645,-249.42195443683067,-487.1865106625694
158,-700.5263176464892,181.81684550887567,-488.88213796414635
159,-2482.2983597231446,38.31141150462353,-487.27847932078987
160,-1541.810967241876,240.33740024301207,-488.15242976564895
161,-925.5229680854851,-71.19910592625929,-487.35442187831626
162,-728.8965685493234,-38.633279581450935,-488.39859782965357
163,-315.55095094137357,112.86183047889332,-489.29214515250925
164,-1275.565786997583,-39.302648052238396,-487.2299027520824
165,-1049.2016093311722,55.39538245681791,-488.2755849742866
166,-1367.9773053363303,96.66672122993398,-488.0683521700297
167,-2036.6983631170704,-225.25851140846183,-488.9280189035004
168,-1157.8822803680052,338.1493093107034,-488.01229957903445
169,-1314.8819869831812,-115.07041733745005,-488.8589174195009
170,-1040.7955670677393,-70.12318149579747,-490.3497307396742
171,-1301.0846025104406,-108.31035590300301,-488.7808170020326
172,-824.298410875511,-14.783513083198349,-490.3999173899853
173,-968.2057877764273,-228.1051495178091,-489.2461255708535
174,-359.194879950617,47.30673228655155,-487.4614091244179
175,-795.4675028027514,-50.59287742139039,-487.70442690078255
176,-454.4387079089076,-558.9892977402186,-487.9198751985559
177,-444.9056772014606,-510.66808162272315,-487.56509886943263
178,-535.9015571924988,285.38223477383576,-488.41237823315396
179,-1024.2734361251132,-173.03895267365246,-489.38574389910576
180,-1030.2080676711869,82.4519739423074,-489.19165803062526
181,-1321.8330341175456,-159.93315367995336,-487.90964102838745
182,-615.5742528430568,-43.87325989934885,-488.3496336564946
183,-671.2504527099628,-363.8264541146193,-489.2408439532672
184,-1244.3949313820265,-67.86872704083598,-488.49972982681305
185,-1243.0317558767385,274.58909393537937,-488.9336194461007
186,-1678.3793549975233,83.61154234085512,-489.4930395368834
187,-1275.1743057321778,-287.4663044158782,-487.9585929432018
188,-1574.816293464225,201.86943937788698,-489.22967444054586
189,-1436.616212790131,60.57167154731222,-489.0487039168736
190,-1440.5344906790046,-83.05154574372102,-487.7385258603364
191,-358.77537597870634,-454.97824196884073,-486.1861314734678
192,-1337.177568356374,-330.36995784024333,-488.3245166959161
193,-1323.4731395515935,-212.89688737142498,-489.1753082686032
194,-1181.9177058336102,-165.36809167594828,-490.02603901080363
195,-999.458169064774,90.05235296751451,-487.517442695297
196,-337.27528035195957,-154.22462479042355,-488.88277987112116
197,-1507.6730332244013,118.17364365196799,-487.53754237023765
198,-880.3140566804037,-255.06442832752185,-487.80465036148377
199,-1442.1519020067021,-138.56791159969742,-488.82968767563904
200,-1248.3352563846258,22.829401965686124,-488.52787507507713
201,-1685.4506946370245,-452.54345952008094,-488.4464823336535
202,-1422.5121614535146,187.53690688280147,-487.666139256838
203,-2199.0103733958294,-297.0993055839349,-488.59159494650925
204,-1496.979425034241,-372.12553461581615,-487.6935020870167
205,-850.4964090313499,162.3769244665283,-487.4286050202264
206,-1238.712453711129,-345.8752836431078,-489.6945910833119
207,-327.02273033637,-406.89228090848064,-488.0793568331488
208,-381.76361028067026,-177.88061701930206,-486.6185072754558
209,-715.1253420425691,80.44664022729867,-489.2015950794047
